"id";"type_id";"res_id";"res_grp";"res_name";"description";"state";"api_uri";"web_url";"data_role_1";"data_role_2";"create_time"
89;web;ams351w_d;accessToken;token刪除; ;"1";/api/modadw351w;/modadw/modadw351w;"";"";2024-07-26 03:47:12.007
90;web;ams351w_upState;accessToken;token啟停; ;"1";/api/modadw351w/changeState;/modadw/modadw351w;"";"";2024-07-26 03:47:12.007
91;web;ams351w_conferRes;accessToken;token授權功能; ;"1";/api/modadw351/searchResTree,/modadw351w/saveRel;/modadw/modadw351w;"";"";2024-07-26 03:47:12.007
92;web;ams351w_hasRes;accessToken;token查詢功能; ;"1";/api/modadw351w/getDetail/res;/modadw/modadw351w;"";"";2024-07-26 03:47:12.007
100;node;org;org;組織管理;"";"1";x;"";"";"";2024-09-23 03:47:12.007
101;web;org_a;org;組織建立;"";"1";/api/modadworg/create;/modadw/modaorg;"";"";2024-09-23 03:47:12.007
103;web;org_c;org;組織編輯;"";"1";/api/modadworg/update;/modadw/modaorg;"";"";2024-09-23 03:47:12.007
104;web;org_d;org;組織刪除;"";"1";/api/modadworg/delete;/modadw/modaorg;"";"";2024-09-23 03:47:12.007
105;web;org_s;org;組織查詢;"";"1";/api/modadworg/search;/modadw/modaorg;"";"";2024-09-23 03:47:12.007
110;web;ams311w_PrsonInfo;account;個人資料管理;"";"1";/api/modadw311w/getUserDetails,/api/modadw311w/updateUserDetails;/dashboard/index;defaultRes;"";2024-08-30 03:47:12.000
111;web;ams311w_upPwd;account;修改密碼;"";"1";/api/modadw302w/change-bwd/finish;/dashboard/index;defaultRes;"";2024-08-30 03:47:12.000
152;web;issuer_DIDregister;dw;註冊DID;"";"1";"";/dw/DIDregister;"";"";2024-07-26 03:47:12.007
153;web;issuer_OrgLogo;dw;組織 LOGO 上傳;"";"1";"x";/dw/OrgLogoUpload;"";"";2025-06-09 03:47:12.007
200;node;vc_fields;vc_fields;VC欄位管理;"";"1";x;"";"";"";2024-07-26 03:47:12.007
201;web;vc_fields_basic;vc_fields;基本欄位;"";"1";x;/vc/fields/basic;"";"";2024-07-26 03:47:12.007
202;web;vc_fields_normal;vc_fields;常用欄位;"";"1";x;/vc/fields/normal;"";"";2024-07-26 03:47:12.007
203;node;vcSchema;vcSchema;VC管理;"";"1";x;"";"";"";2024-07-26 03:47:12.007
204;web;vcSchema_createVC;vcSchema;VC建立管理;"";"1";x;/vcSchema/createVC;"";"";2024-07-26 03:47:12.007
205;web;vcSchema_removeVC;vcSchema;VC資料撤銷;"";"1";x;/vcSchema/removeVC;"";"";2024-07-26 03:47:12.007
206;web;vcSchema_clearData;vcSchema;定時清除資料排程;"";"1";x;/vcSchema/clearData;"";"";2024-07-26 03:47:12.007
209;node;issuer;issuer;Issuer功能;"";"1";x;"";"";"";2024-07-26 03:47:12.007
211;node;Top_vc_fields;Top_vc_fields;VC欄位管理;"";"1";x;"";"";"";2024-07-26 03:47:12.007
212;node;Top_vcSchema;Top_vcSchema;VC管理;"";"1";x;"";"";"";2024-07-26 03:47:12.007
214;node;api_issuer;api_issuer;Issuer 業務性 API 管理;"";"1";x;"";"";"";2024-07-26 03:47:12.007
216;web;vc_fields_regex;vc_fields;正規表示法;"";"1";x;/vc/fields/regularExpression;"";"";2024-07-26 03:47:12.007
217;web;ams311w_d;account;帳號刪除;"";"1";/api/modadw311w/deleteAccount;/modadw/modadw311w;"";"";2024-07-26 03:47:12.007
223;web;vc_createVC_ExtApi;api_issuer;VC建立管理API(對外);"";"1";x;"";"";"";2025-02-03 03:47:12.007
225;web;vc_removeVC_ExtApi;api_issuer;VC資料撤銷API(對外);"";"1";x;"";"";"";2025-02-03 03:47:12.007
230;node;api_issuer_manager;api_issuer_manager;Issuer 管理性 API 管理;"";"1";x;"";"";"";2025-02-03 03:47:12.007
