"id";"role_id";"role_name";"description";"state";"data_role_1";"data_role_2";"create_time";"auth_change_time"
7;default_role;基本角色;個人資料設定, 修改密碼;"1";"";"";2024-06-21 08:16:24.527;2025-02-21 08:43:27.558
38951;issuer_admin;發行端管理者;發行端系統最高權限管理者;"1";"1";"";2024-11-27 09:31:39.525;2025-02-24 12:19:15.425
39151;issuer_org_manager;發行端組織管理者;某組織最高權限管理者;"1";"";"";2024-11-27 09:32:26.194;2025-02-26 06:27:18.176
39152;issuer_org_user;發行端組織使用者;某組織使用者;"1";"";"";2024-11-27 09:32:40.728;2025-02-26 06:28:17.090
39158;issuer_org_apuser;發行端組織系統使用者;某組織系統呼叫端;"1";"";"";2024-11-28 05:39:02.523;2025-02-26 06:26:32.807
427703;issuer_basic_vc;發行端一般帳號使用者;發行端一般帳號使用者;"1";;;2025-02-14 01:07:33.173;2025-02-26 06:29:03.413
