"id";"role_id";"role_name";"description";"state";"data_role_1";"data_role_2";"create_time";"auth_change_time"
7;default_role;基本角色;個人資料設定, 修改密碼;"1";"";"";2024-06-21 08:16:24.527;
39153;verify_admin;驗證端管理者;驗證端系統最高權限管理者;"1";"";"";2024-11-27 09:33:42.073;2025-02-21 08:57:21.167
39154;verify_org_manager;驗證端組織管理者;某組織最高權限管理者;"1";"";"";2024-11-27 09:33:56.040;2025-02-21 08:57:31.588
39159;verify_org_apuser;驗證端組織系統使用者;某組織系統呼叫端;"1";"";"";2024-11-28 05:39:15.531;2025-02-25 07:41:09.817
39156;verify_org_user;驗證端組織使用者;某組織使用者;"1";"";"";2024-11-27 09:34:54.398;2025-02-26 06:31:45.757
256203;verify_basic_vp;驗證端一般帳號使用者;驗證端一般帳號使用者;"1";;;2025-02-14 01:11:21.500;2025-02-26 06:32:54.597
